"Name of Organization","Service Type","Extra Filters","Who are these services for? (refugees, asylees, TPS, parolees, any status, etc.)","Website","Summary of Services","Street","City/State/ZIP","Neighborhood","Hours","Phone Number (for public to contact)","Services offered in these languages"
"The Immigrant Learning Center","Education","Parking Available-MBTA Accessible","Any status","https://www.ilctr.org/about/our-programs/","Offers free english classes, citizenship application services,","442 Main Street","MALDEN-MA 02148","Greater Boston (Not One Of These Neighborhoods)","","781-322-9777","English"
"Immigrant Family Services Institute","Education, Legal, Housing/Shelter, Healthcare","","Any status","https://www.ifsi-usa.org/whatwedo#services","","1626 Blue Hill Avenue","MATTAPAN-MA 02126","Mattapan","","617-322-1348","English"
"Rian Immigrant Center","Education, Legal","","Any status","https://www.riancenter.org/what/","Esl classes, citizenship education, career and education coaching, computer literacy classes","One State Street","BOSTON-MA 02109","Downtown","9am - 4pm","Not Available","English"
"International Institute Of New England","Food, Housing/Shelter,  Employment,  Education, Legal","MBTA Accessible","Any status","https://iine.org/","","2 Boylston Street, 3rd Floor","BOSTON-MA 02116","Downtown","9am - 5pm","617-695-9990","English"
"Action For Boston Community Development","Education, Employment, Food, Healthcare, Housing/Shelter, Cash Assistance, Legal","","Any status","https://bostonabcd.org/allprograms/","Legal: offers services to help with the naturalization (citizenship) application process
- a screening session to determine eligibility for citizenship
- help completing the application and fee waiver
- preparation for the uscis citizenship interview
- offers services to help with green card renewal and replacement applications
- there are residency and income-eligibility requirements*","178 Tremont St","BOSTON-MA 02111","Downtown","M,Tues 9am-5pm; Wed, Thurs 8am-5pm, Fri 9am-4pm","617-357-6000","English"
"East Boston Community Council","Education, Legal","","Any status","https://ebecc.org/","","282 Meridian St","BOSTON-MA 02128","East Boston","9am - 6pm","Not Available","English"
"Catholic Charities Boston","Education, Housing/Shelter, Food, Legal","","Any status","https://www.ccab.org/what-we-do/","Family and youth services, basic needs, immigrant and refugee services, adult education and workforce development,","275 W Broadway","BOSTON-MA 02127","South Boston","7:30am - 6pm","617-464-8500","English"
"Jewish Vocational Service","Employment","Wheelchair Accessible","Any status","https://www.jvs-boston.org/refugee-immigrant-employment-services-2/","Career coaching, english classes, job search assistance, interview preparation, skills training, career advancement services","75 Federal St, 3rd floor","BOSTON-MA 02110","Citywide","9am - 5 PM","617-399-3131, TTY: 711","English-Spanish-French-Portuguese-Haitian-Arabic-Mandarin-Cantonese"
"Masshire Downtown Boston Career Center","Employment","Wheelchair Accessible","Refugees / immigrants","https://masshiredowntownboston.org/refugee-immigrant-resources/","Free english classes, resume creation worksheets + templates, job application assistance","75 Federal St, 3rd Floor","BOSTON-MA 02110","Downtown","9am - 5pm","617-399-3100","English"
"East Boston Community Soup Kitchen","Food","MBTA Accessible","Any status","https://ebcsk.org/","Monday is food distribution, tuesday in-door hotmeals (both free)
----
monday: food distribution to help those facing hunger, homelessness, and other challenging life situations. 
tuesdays: hot meals served in a welcoming environment where everyone is treated with dignity and respect. 
our mission is to provide not only nourishment but also a sense of community and support to all who come to us.
free, no id required
founded by an el salvadoran immigrant, sandra nijjar","28 Paris Street","BOSTON-MA 02128","East Boston","Open Monday and Tuesday, Monday is Food distribution, Tuesday in-door hotmeals, hours not on website","no public","Spanish,English"
"Roslindale Food Collective","Food","Parking Available","Any status-no id required","https://roslindalefoodcollective.org/","Free food distribution every sunday at 3 pm (free)","1195 Centre Street","WEST ROXBURY-MA","Roslindale, West Roxbury","Sunday 3-3:30pm","no public facing phone number","English"
"Fair Foods: First Parish Church","Food","MBTA Accessible","Any status-no eligibility requirements-no registration-no id checks.","https://www.fairfoods.org/","$2 bag containing over twelve pounds of mixed fresh produce. items range from fresh spinach, mangoes, potatoes, and more. no eligibility requirements, no registration, and no id checks. take as many bags as you need for yourself, friends, or family.","10 Parish St","DORCHESTER-MA 02122","Dorchester","Friday 2-4pm","617-436-0527","English"
"Project Citizenship","Legal","MBTA Accessible","Help eligible and legal permanent residents (lprs) to overcome barriers to naturalization","https://projectcitizenship.org/","Legal help applying for citizenship","11 Beacon St Unit 1210","BOSTON-MA 02108","Downtown","M-F 9:30am-4:30pm","617-694-5949","English"
"Refugee & Immigrant Assistance Center (Riac)","Community, Education, Legal","MBTA Accessible","Refugees / immigrants","https://www.riacboston.org/where-we-work/","Refugee resettlement, referrals to services, assistance with benefits, social adjustment counseling, interpretation, case work, citizen application assistance, community education programs","253 Roxbury St","BOSTON-MA 02119","Roxbury","9am-5pm","617-238-2430","English,Somali,Arabic,Swahili,French,Dari,Pashto,Maay Maay,Darija"
"Mass Office For Refugees And Immigrants (Ori)","Housing/Shelter, Education, Employment, Community Education, Healthcare, Legal","MBTA Accessible","Refugees / immigrants","https://www.mass.gov/orgs/office-for-refugees-and-immigrants","Financial literacy, citizenship for new americans, refugee employment, education, youth, health, other services,","600 Washington St 4th floor","BOSTON-MA 02111","Downtown","9am-5pm","617-727-7888","English"
"Kids In Need Of Defense (Kind)","Legal","MBTA Accessible","Unacompannied minors","https://supportkind.org/","- services for unaccompanied immigrant and refugee children (entered the us under the age of 18 without a parent or legal guardian) seeking humanitarian immigration protection and defense from deportation 
- provides unaccompanied children with legal assistance including⊦ adjustment of status, asylum applications, removal hearings, special immigrant juvenile status, t visas, u visas
- must live in one of the following ma counties: suffolk, essex, middlesex, norfolk, plymouth, or bristol
- legal services are free and no income-eligibility requirements","11 Beacon St, Suite 820","BOSTON-MA 02108","Downtown","Mon - Fri 9am - 5pm","617-207-4138","English"
"Boston Healthcare For The Homeless","Healthcare","MBTA Accessible","Any status","https://www.bhchp.org/","- access to all bhchp clinical spaces including dedicated sites and services for immigrants (women's health, hiv care, hepatitis c care, and gender care)","780 Albany Street","BOSTON-MA 02118","South End","M 8am- 5pm
T 8am - 12pm & 4pm - 8pm
W 8am - 5pm
Th 8am - 8pm
F 8am - 5pm","857-654-1000","English"
"Centro Presente","Education, Legal, Community Education","LGBTQ+ Friendly-MBTA Accessible","Any status","http://www.cpresente.org","Education for empowerment program, which features esol classes and citizenship and civic participation classes for adults; community organizing and advocacy programs","12 Bennington St Suite 202","BOSTON-MA 02145","East Boston","Only open Thursday, Friday, Saturday 9am - 5pm","857-256-2981","English"
"Boston Center For Refugee Health & Human Rights (Program Of Immigrant And Refugee Health Center At Boston Medical Center)","Healthcare, Community Education, Legal, Employment, Mental Health Services, Case Management","MBTA Accessible","Asylum seekers-refugees-torture survivors-families","https://www.bcrhhr.com/; https://www.bmc.org/immigrant-refugee-health-center","Bcrhhr: medical care, mental health services, social services, evaluations for asylum cases, legal referrals, career development services for asylum seekers, support groups

irhc at bmc: 

the bmc immigrant & refugee health center (irhc) works with providers across bmc to connect our patients with primary care, mental health care, medical specialty care, and social services, all tailored to the needs of immigrant and refugee patients. while we can help our patients connect with any services available across bmc, there are several departments and programs that are affiliated with our center. in addition to the list below, we also provide:

referrals for legal consultations for asylum seekers
forensic psychological assessments 
limited in-house development services for clients","Dowling Building at BMC - 850 Harrison Ave 7th Floor","BOSTON-MA 02118","Roxbury, South End","M-F 9am-5pm","617-414-1994","English"
